номер,url,заказчик,объект,Размещено,Обновлено,Окончание подачи заявок,Общая информация
32110390823,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110390823,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАНИНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ"" (Заказчик)","Выполнение работ по строительству очистных сооружений поверхностного стока порта Ванино 
ЛОС №1, согласно техническому заданию (2693738)",,,13.07.2021 в 19:00,{}
№ 0123200000321001927,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123200000321001927,УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ,"Поставка запасных частей к автомобилям, используемым для собственных нужд управления",09.07.2021,09.07.2021,21.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка запасных частей к автомобилям, используемым для собственных нужд управления', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101232000015001000060'}"
№ 0843500000221002380,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0843500000221002380,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""","Капитальный ремонт МКОУ ""Целинная средняя общеобразовательная школа им. Н.Д. Томина"" ограждение",01.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Капитальный ремонт МКОУ ""Целинная средняя общеобразовательная школа им. Н.Д. Томина"" ограждение', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103433000141005000022'}"
№ 0365100000921000683,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0365100000921000683,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ТОМСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ МЕДИЦИНСКИЙ ЦЕНТР РОССИЙСКОЙ АКАДЕМИИ НАУК""",Поставка овощной продукции для НИИ кардиологии  Томского НИМЦ,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка овощной продукции для НИИ кардиологии \xa0Томского НИМЦ', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103651000009001001439'}"
№ 0816500000621009090,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621009090,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""","Поставка Система суточного мониторирования АД для нужд ГБУ РС (Я) ""Нерюнгринская ЦРБ""",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка Система суточного мониторирования АД для нужд ГБУ РС (Я) ""Нерюнгринская ЦРБ""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103163000104001000351'}"
№ 0123200000321001831,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123200000321001831,УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ,Поставка мебели для офиса,30.06.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка мебели для офиса', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103232000226001000039'}"
№ 0123300039221000032,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123300039221000032,АДМИНИСТРАЦИЯ СЕЛЕМДЖИНСКОГО РАЙОНА,"Приобретение жилых помещений детям-сиротам и детям, оставшихся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений по переданным государственным полномочиям № 1",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение жилых помещений детям-сиротам и детям, оставшихся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений по переданным государственным полномочиям № 1', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101233000388001000006'}"
№ 0351100002921000916,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0351100002921000916,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ АКАДЕМИКА Е.Н. МЕШАЛКИНА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",Поставка лабораторных расходных материалов,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка лабораторных расходных материалов', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103511000029001000003'}"
№ 0139200000121006390,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121006390,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка картриджей,09.07.2021,09.07.2021,21.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка картриджей', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103393003002001000082'}"
№ 0352100001321000040,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0352100001321000040,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ОМСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""","Выполнение работ по капитальному ремонту здания УЛК-8 (замена окон) по адресу: г. Омск, пр. Мира, д.11",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Выполнение работ по капитальному ремонту здания УЛК-8 (замена окон) по адресу: г. Омск, пр. Мира, д.11', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103521000013001000073'}"
№ 0161300001721000125,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0161300001721000125,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""ОХИНСКИЙ"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ",Приобретение жилых помещений на первичном рынке жилья,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение жилых помещений на первичном рынке жилья', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101613000076001000009'}"
№ 0134200000121002963,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134200000121002963,МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ИРКУТСКОЙ ОБЛАСТИ,Поставка бумаги для офисной техники белой,30.06.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка бумаги для офисной техники белой', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202108345000010001000117'}"
№ 0361200015021003877,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0361200015021003877,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""",Поставка детского питания,05.07.2021,05.07.2021,14.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка детского питания', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103612000143001000247'}"
32110447669,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110447669,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ"" (Заказчик)",Поставка трубы стальной электросварной прямошовной бывшей в употреблении для строительства «Водоузел №5 в городе Якутске» (наружные сети водоснабжения).,,,16.07.2021 в 09:00,{}
№ 0119200000121008807,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008807,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА 9100/21 ""Поставка переносных двухсекционных телескопических рамп для обеспечения доступности маломобильных групп населения здания КГБУ СО ""КЦСОН ""Минусинский""",09.07.2021,09.07.2021,22.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА 9100/21 ""Поставка переносных двухсекционных телескопических рамп для обеспечения доступности маломобильных групп населения здания КГБУ СО ""КЦСОН ""Минусинский""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103193002026003000076'}"
№ 0123200000321001924,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123200000321001924,УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ,Поставка масла соевого,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка масла соевого', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103233000168001000045'}"
№ 0816500000621009086,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621009086,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка расходного материала для ОКК,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка расходного материала для ОКК', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103162000189001000069'}"
№ 0112200000821003336,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0112200000821003336,МИНИСТЕРСТВО РЕСПУБЛИКИ ТЫВА ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,"Капитальный ремонт конструкций стадиона ""Хуреш"" и зданий (административное здание, судейская вышка) Спортивной школы ""Тыва""",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Капитальный ремонт конструкций стадиона ""Хуреш"" и зданий (административное здание, судейская вышка) Спортивной школы ""Тыва""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202108122000002001000027'}"
№ 0302200007521000004,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0302200007521000004,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ РЕСПУБЛИКИ БУРЯТИЯ ""ТАРБАГАТАЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""","Поставка продуктов питания (сыр,колбаса)",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО ""РАД""', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://gz.lot-online.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка продуктов питания (сыр,колбаса)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103022000075001000020'}"
№ 0119200000121008808,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008808,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА-№-8740/21 ""Оказание услуг по техническому обслуживанию и планово-предупредительному ремонту систем пожарной безопасности в КГБУЗ «КМКБ № 20 им. И.С. Берзона»",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА-№-8740/21 ""Оказание услуг по техническому обслуживанию и планово-предупредительному ремонту систем пожарной безопасности в КГБУЗ «КМКБ № 20 им. И.С. Берзона»', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000610001000267'}"
№ 0119200000121008809,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008809,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА-№-8952/21 ""Поставка изделий медицинских на строящийся объект: школа на 275 учащихся в пос. Саянский Рыбинского района""",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА-№-8952/21 ""Поставка изделий медицинских на строящийся объект: школа на 275 учащихся в пос. Саянский Рыбинского района""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000133002000258'}"
№ 0816500000621009087,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621009087,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка реагентов и расходных изделий для лаборатории,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка реагентов и расходных изделий для лаборатории', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103162000247001000024'}"
32110458526,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110458526,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛАН-УДЭНСКИЙ АВИАЦИОННЫЙ ЗАВОД"" (Заказчик)","1615-2021-01770. Поставка резцедержателей BARUFFALDI тип TBYA200 К 28.А200.2002С40.01, тип TBMA160 К 26.0160.0002с30.02.",09.07.2021,09.07.2021,19.07.2021 в 15:00,{}
№ 0165300013021000009,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0165300013021000009,АДМИНИСТРАЦИЯ БАКЧАРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ,"Ремонт автомобильной дороги по ул. 79 Гвардейской Дивизии в с. Бакчар, Бакчарский район, Томская область",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Ремонт автомобильной дороги по ул. 79 Гвардейской Дивизии в с. Бакчар, Бакчарский район, Томская область', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101653000130002000020'}"
№ 0119200000121008810,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008810,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА-№-9466/21 ""Выполнение работ по обустройству участков улично-дорожной сети вблизи образовательных организаций для обеспечения безопасности дорожного движения за счет средств дорожного фонда Красноярского края в с. Верхняя Коя Минусинского района Красноярского края""",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА-№-9466/21 ""Выполнение работ по обустройству участков улично-дорожной сети вблизи образовательных организаций для обеспечения безопасности дорожного движения за счет средств дорожного фонда Красноярского края в с. Верхняя Коя Минусинского района Красноярского края""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101193000433002000004'}"
№ 0123200000321001925,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123200000321001925,УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ,Поставка лекарственного препарата для медицинского применения  «Адеметионин»,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка лекарственного препарата для медицинского применения  «Адеметионин»', 'Этап закупки': 'Подача заявок', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103233000168001000052'}"
№ 0817200000321008543,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0817200000321008543,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""",Поставка расходных материалов на 2021 год,30.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка расходных материалов на 2021 год', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103173000788001000186'}"
№ 0302300035221000010,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0302300035221000010,,Выполнение ремонтных и восстановительных работ по объектам теплоснабжения инженерной инфраструктуры в границах центральной экологической зоны озера Байкал,30.06.2021,30.06.2021,09.07.2021,"{'Определение поставщика (подрядчика, исполнителя) в части заключения контракта приостановлено по требованию контрольного органа\r\n                            (Жалоба №202100108274000556)': 'Перейти в реестр жалоб'}"
32110457636,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110457636,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХАБАРОВСКАЯ ГОРЭЛЕКТРОСЕТЬ"" (Заказчик)",Поставка офисной мебели для нужд АО «ХГЭС»,09.07.2021,09.07.2021,,{}
№ 0122200002521004133,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002521004133,КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,"Выполнение работ по комплексному обследованию технического состояния здания, по подготовке проектной документации, по разработке рабочей документации по объекту: «Здание женской консультации № 2 КГБУЗ ГП № 11 Хабаровска» (комплексный капитальный ремонт)»",28.06.2021,09.07.2021,06.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение работ по комплексному обследованию технического состояния здания, по подготовке проектной документации, по разработке рабочей документации по объекту: «Здание женской консультации № 2 КГБУЗ ГП № 11 Хабаровска» (комплексный капитальный ремонт)»', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103223000112001000084'}"
№ 0817200000321008544,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0817200000321008544,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""",Поставка изделий для рентген диагностики,30.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка изделий для рентген диагностики', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103172000115001000200'}"
